System,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
1,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0
2,0.75,0.25,0.25,0.25,0.50,0.25,0.25,0.25,0,0
3,0.75,0.25,0.50,0.50,0.50,0.50,0.25,0.25,0,0
4,0.75,0.25,0.50,0.50,0.75,0.50,0.50,0.25,0.50,0.25
5,0.75,0.25,0.50,0.50,0.75,0.50,0.50,0.25,0.50,0.25
6,0.75,0.25,0.50,0.50,0.25,0.75,0.25,0.50,0,0
7,0.75,0.25,0.50,0.50,0.25,0.50,0.50,0.50,0.75,0
8,0.75,0.50,0.50,0.50,0.50,0.25,0.50,0.50,0.25,0
9,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.50
10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.75,0.75
